Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
14,VÍA DE LA PLATA,2,3442.89,143.45,269.96,113.64,0,0,222.65,193.33,242.6,169.69,248.52,,255.72,203.83,201.16,92.69,102.23,88.7,106.5,128.29,122.71,98.84,93.36,0,0,258.84,229.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NAVALENO-O,2,3404.48,141.85,246.16,205.38,230.23,147.45,133.93,0,90.31,10,312.04,,174.44,102,10,0,0,0,0,136.57,148.11,389.01,239.36,110,149.7,268.37,301.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ASTUR EXTREM,2,3391.42,141.31,597.07,524.94,0,0,0,0,0,0,675.8,,561.27,0,0,0,0,0,0,0,0,0,94.16,0,0,538.18,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NORDESTE,2,2872.57,119.69,238.88,284.2,0,0,0,0,0,0,330.52,,176.78,64.33,148.89,484.12,503.33,192.27,164.86,0,0,0,0,0,0,176.01,108.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ELERUT,2,2693.05,112.21,122.44,166.64,74.34,81.59,0,0,0,0,0,,0,54.81,78,149.13,90.17,85.07,10,224.49,216.96,376.68,367.6,159.86,155.94,132.42,146.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BADALONA-O,2,2472.74,103.03,157.23,173.51,0,0,62.34,74.32,0,0,158.4,,137.74,0,0,257.22,258.12,294.69,272.96,0,0,330.44,295.77,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ENTREBALIZAS,2,2306.05,96.09,0,0,81.43,169.93,186.33,286.83,0,0,154.11,,111.49,0,0,168.88,179.9,0,0,0,0,111.9,94.63,119.23,135.99,245.36,260.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VERD3,2,2180.56,90.86,0,0,0,146.12,147.22,358.46,0,0,0,,0,0,0,118.31,193.28,191.48,162.08,0,0,397.22,466.39,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,POSEIDÓN,2,1800.11,75,0,0,0,0,0,0,439.96,163.01,212.6,,300.58,0,0,0,0,0,0,0,63.24,0,0,370.83,249.89,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SENDA,2,1796.69,74.86,0,0,293.08,269.88,352.74,405.87,70.73,69.18,62.56,,59.74,0,0,64.97,63.91,74.03,10,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ESCONDITE-T,2,851.25,35.47,0,0,0,0,76.48,86.98,0,0,118.75,,151.07,0,0,53.75,44.98,0,0,0,0,106.89,90.88,59.3,62.17,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,UPV-O,2,479.81,19.99,0,0,0,0,56.96,121.86,0,0,66.28,,0,0,0,0,0,0,0,0,0,114.81,119.9,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,XINOXANO,3,3931.34,163.81,0,0,0,0,463.01,405.79,0,0,0,,0,0,0,114.62,125.59,455.05,322.67,0,0,546.4,522.23,0,0,504.06,471.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CORZO,3,3468.4,144.52,152.35,134.98,0,0,12.5,12.5,105.38,109.94,233.84,,164.45,0,0,246.61,104.87,248.74,250.59,101.61,89.05,387.4,304.74,113.14,108.89,400.25,186.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,USC,3,3323.06,138.46,323.05,308.09,0,0,0,0,0,0,574.1,,496.98,154.84,155.61,177.78,175.61,268.74,224.28,119.99,166.18,95.58,82.23,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UNIVERSIDAD DE VIGO,3,3110.85,129.62,174.96,98.55,0,0,0,0,0,0,563.27,,457.62,80.66,79.37,307.02,341.03,378.05,374.15,0,0,0,0,0,0,128.32,127.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ADC ARNELA,3,3104.05,129.34,146.63,156.12,0,0,0,0,0,0,868.02,,636.03,0,0,291.39,261.68,358.13,386.05,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CDNAVARRA,3,3087.85,128.66,0,0,0,0,0,0,0,0,579.99,,528.75,0,0,118.82,310.91,495.17,258.65,48.05,52.85,344.7,349.96,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
